Index, Symbol, Company Name, Sector, Industry, Country, Market Cap, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, EPS This Y, EPS Next Y, EPS Next 5Y, EPS Q/Q, Sales Q/Q, ROA, ROE, ROI, Current Ratio, Quick Ratio, LT Debt/Equity, Debt/Equity, Gross Margin, Operating Margin, Net Margin, Perf Month, Perf Quarter, Perf Half Y, Perf Year, Perf YTD, Volatility (Month)
2, AAU, Almaden Minerals Ltd., Basic Materials, Gold, Canada, 76.00M, -, -, -, 0.98, -, 20.80%, -, -, -37.20%, -, -4.60%, -4.90%, -, 19.50, 19.50, 0.03, 0.04, -, -, -, -5.00%, -26.14%, -44.68%, 16.15%, 17.46%, 4.74%
4, AEM, Agnico Eagle Mines Limited, Basic Materials, Gold, Canada, 17.42B, 22.49, 0.67, 5.12, 3.06, 45.01, 6.00%, 12.24%, 38.68%, 723.80%, 39.10%, 7.20%, 12.10%, 7.20%, 2.30, 0.80, 0.29, 0.30, 56.60%, 28.10%, 19.70%, 12.78%, 29.61%, 12.46%, 12.11%, 1.76%, 2.81%
6, AGI, Alamos Gold Inc., Basic Materials, Gold, Canada, 3.59B, 29.45, -, 4.49, 1.24, -, 53.80%, 55.00%, -, -, 28.50%, -, -, -, -, -, -, -, -, -, -, 10.67%, 26.81%, 12.44%, 12.72%, 4.34%, 3.38%
8, ALTO, Alto Ingredients Inc., Basic Materials, Specialty Chemicals, USA, 494.38M, 7.17, 1.25, 0.61, 1.55, 15.90, 85.30%, 34.78%, 20.00%, 112.80%, -29.80%, 2.70%, 5.10%, 2.50%, 2.10, 1.70, 0.21, 0.34, 9.90%, 4.80%, 1.70%, 14.60%, -6.58%, -0.60%, 900.00%, 22.84%, 7.28%
10, AMRS, Amyris Inc., Basic Materials, Specialty Chemicals, USA, 4.40B, -, -, 13.70, -, -, 29.60%, 87.40%, 30.00%, -120.80%, 507.90%, -, -, -269.30%, 1.70, 1.40, -, -, 69.30%, -, -, -3.66%, -9.13%, 394.10%, 281.50%, 130.45%, 8.50%
12, ASH, Ashland Global Holdings Inc., Basic Materials, Chemicals, USA, 5.72B, 16.26, 3.97, 2.45, 1.86, 22.59, 76.10%, 18.24%, 9.50%, 107.40%, -2.00%, 2.00%, 4.50%, -8.90%, 2.50, 1.60, 0.50, 0.53, 31.10%, 7.80%, 6.00%, 8.90%, 10.81%, 24.82%, 41.21%, 19.75%, 2.20%
14, ASM, Avino Silver & Gold Mines Ltd., Basic Materials, Silver, Canada, 129.90M, 10.65, -, 14.60, 1.64, -, -169.60%, 105.00%, -, -530.00%, -, -12.50%, -14.70%, -5.10%, 8.40, 8.00, 0.00, 0.03, -14.90%, -, -, 5.65%, -3.68%, 43.33%, 89.86%, 0.77%, 6.67%
16, AUMN, Golden Minerals Company, Basic Materials, Other Precious Metals & Mining, USA, 115.86M, 36.87, -, 18.69, 10.53, -, -29.40%, 33.33%, -, 36.30%, 50.00%, -54.80%, -89.20%, -73.70%, 3.60, 3.10, 0.00, 0.00, 52.40%, -, -, -1.68%, -2.46%, 44.62%, 116.37%, -2.97%, 5.22%
18, AVD, American Vanguard Corporation, Basic Materials, Agricultural Inputs, USA, 567.15M, 19.67, -, 1.18, 1.52, 9.76, 10.80%, 32.62%, -1.00%, 479.60%, 21.00%, 2.60%, 5.10%, 4.20%, 2.20, 1.20, 0.40, 0.40, 37.40%, 5.20%, 3.70%, -8.64%, -9.63%, 18.49%, 38.27%, 18.49%, 2.91%
20, AVTR, Avantor Inc., Basic Materials, Specialty Chemicals, USA, 18.61B, 22.82, 4.63, 2.79, 10.37, 25.17, 110.70%, 10.94%, 24.28%, 372.30%, 17.60%, 1.70%, 10.30%, 6.30%, 1.80, 1.20, 2.56, 2.57, 32.90%, 6.90%, 2.50%, -1.62%, 12.93%, 23.46%, 69.48%, 14.21%, 2.66%
1, AA, Alcoa Corporation, Basic Materials, Aluminum, USA, 7.28B, 10.26, -, 0.75, 2.27, 47.61, 85.00%, -5.96%, -, 116.40%, 20.50%, -0.50%, -2.20%, 2.40%, 1.50, 1.10, 0.68, 0.91, 15.70%, 5.50%, -0.80%, 6.73%, 52.64%, 94.75%, 330.73%, 72.10%, 5.44%
3, ACH, Aluminum Corporation of China Limited, Basic Materials, Aluminum, China, 13.03B, -, -, 0.45, 1.17, 8.45, -24.30%, -, -, 407.80%, 4.10%, 0.20%, 0.90%, 3.70%, 0.70, 0.40, 1.06, 1.70, 7.20%, 3.20%, 0.30%, 7.87%, 18.79%, 63.18%, 207.55%, 69.01%, 2.34%
5, AG, First Majestic Silver Corp., Basic Materials, Silver, Canada, 4.47B, 254.00, 3.52, 12.28, 4.64, -, 250.00%, 16.70%, 46.80%, -, 21.40%, -, -, -, -, -, -, -, -, -, -, 14.41%, 5.77%, 73.97%, 77.62%, 32.29%, 5.16%
7, ALB, Albemarle Corporation, Basic Materials, Specialty Chemicals, USA, 19.68B, 32.94, 1.94, 6.11, 3.27, -, -29.90%, 40.15%, 25.61%, -16.10%, 12.20%, 3.50%, 8.00%, 5.60%, 2.10, 1.40, 0.35, 0.35, 31.60%, 15.70%, 11.30%, -0.32%, 9.24%, 24.01%, 118.35%, 13.26%, 3.62%
9, AMR, Alpha Metallurgical Resources Inc., Basic Materials, Coking Coal, USA, 338.61M, 12.69, -, 0.25, 2.14, -, -13.00%, 144.70%, -, 10.20%, -4.10%, -24.10%, -156.80%, -21.50%, 1.80, 1.40, 3.23, 3.41, 7.60%, -12.30%, -33.00%, 50.23%, 31.79%, 154.94%, 417.19%, 74.67%, 8.71%
11, APD, Air Products and Chemicals Inc., Basic Materials, Chemicals, USA, 66.02B, 27.58, 2.89, 7.13, 5.22, -, 8.40%, 19.75%, 12.28%, -3.90%, 12.90%, 7.40%, 15.40%, 8.80%, 2.90, 2.80, 0.56, 0.63, 32.10%, 23.60%, 20.40%, 2.52%, 14.73%, 7.74%, 24.01%, 9.68%, 1.61%
13, ASIX, AdvanSix Inc., Basic Materials, Chemicals, USA, 902.31M, 9.33, 1.37, 0.73, 1.87, 10.47, 14.40%, 7.10%, 10.00%, 220.10%, 24.30%, 5.20%, 14.90%, 7.50%, 1.20, 0.60, 0.52, 0.00, 13.10%, 7.20%, 5.30%, 3.40%, 8.65%, 70.03%, 167.40%, 58.38%, 4.17%
15, AU, AngloGold Ashanti Limited, Basic Materials, Gold, South Africa, 10.11B, 9.36, 0.28, 2.25, 2.74, 15.59, 159.20%, 6.01%, 34.89%, -18.60%, -42.40%, 12.70%, 30.40%, 14.40%, 2.60, 1.70, 0.52, 0.57, 39.00%, 33.80%, 21.90%, 15.16%, 19.63%, 13.51%, -3.22%, 5.08%, 2.87%
17, AUY, Yamana Gold Inc., Basic Materials, Gold, Canada, 5.06B, 27.58, 0.59, 3.11, 1.14, -, 50.00%, 58.30%, 40.04%, 21.60%, 18.40%, -, -, -, -, -, -, -, -, -, -, 13.17%, 29.38%, 2.14%, -2.24%, -8.23%, 2.99%
19, AVNT, Avient Corporation, Basic Materials, Specialty Chemicals, USA, 4.74B, 16.10, 2.04, 1.28, 2.78, 43.84, 49.70%, 13.26%, 13.10%, 125.30%, 63.40%, 3.80%, 10.90%, 5.20%, 2.00, 1.60, 1.09, 1.10, 25.10%, 7.00%, 4.80%, 3.53%, 15.46%, 39.73%, 109.77%, 29.05%, 2.93%
22, AXU, Alexco Resource Corp., Basic Materials, Other Precious Metals & Mining, Canada, 430.30M, 9.64, -, 84.37, 3.40, -, -341.50%, 281.61%, -, -24.90%, 533.30%, -22.60%, -26.00%, -11.00%, 2.00, 1.70, 0.02, 0.04, -51.30%, -, -, 15.11%, 20.30%, 29.03%, 39.74%, 0.95%, 4.70%
24, BBL, BHP Group, Basic Materials, Other Industrial Metals & Mining, Australia, 170.36B, 8.66, 4.17, 3.68, 3.14, 15.09, -5.70%, 26.55%, 5.30%, 0.20%, 23.60%, 6.80%, 14.50%, 12.10%, 1.40, 1.10, 0.39, 0.46, -, 34.30%, 15.00%, -2.16%, -6.68%, 28.87%, 54.19%, 14.56%, 1.91%
26, BCPC, Balchem Corporation, Basic Materials, Specialty Chemicals, USA, 4.25B, 32.59, 2.01, 5.95, 4.97, 36.94, 6.20%, 10.44%, 24.00%, 17.90%, 6.50%, 7.60%, 10.70%, 9.00%, 3.20, 2.30, 0.18, 0.18, 31.80%, 16.10%, 12.30%, 5.12%, 9.60%, 27.35%, 30.15%, 13.70%, 2.39%
28, BIOX, Bioceres Crop Solutions Corp., Basic Materials, Agricultural Inputs, Argentina, 601.65M, 15.67, -, 3.43, 9.09, -, 115.30%, 9900.00%, -, 63.70%, 40.90%, -4.40%, -27.00%, 18.90%, 1.20, 1.00, 1.61, 3.02, 46.20%, 18.90%, -8.30%, 0.52%, 92.24%, 174.78%, 129.60%, 147.74%, 4.62%
30, BVN, Compania de Minas Buenaventura S.A.A., Basic Materials, Other Precious Metals & Mining, Peru, 2.77B, 12.10, -, 3.71, 1.11, 69.83, 247.20%, 21.90%, 18.43%, 126.50%, 62.40%, -1.10%, -1.70%, -3.30%, 1.60, 1.40, 0.19, 0.22, 13.60%, -4.30%, -5.90%, 17.79%, 4.25%, 6.18%, 46.75%, -5.50%, 3.82%
32, CC, The Chemours Company, Basic Materials, Specialty Chemicals, USA, 5.92B, 9.29, 1.55, 1.16, 7.00, 14.21, 517.30%, 20.06%, 18.05%, -6.20%, 10.00%, 3.00%, 28.20%, 8.00%, 1.90, 1.20, 4.67, 4.70, 20.90%, 6.80%, 4.20%, 15.31%, 49.65%, 43.72%, 174.07%, 44.94%, 3.78%
