Index, Symbol, Company Name, Sector, Industry, Country, Market Cap, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, EPS This Y, EPS Next Y, EPS Next 5Y, EPS Q/Q, Sales Q/Q, ROA, ROE, ROI, Current Ratio, Quick Ratio, LT Debt/Equity, Debt/Equity, Gross Margin, Operating Margin, Net Margin, Perf Month, Perf Quarter, Perf Half Y, Perf Year, Perf YTD, Volatility (Month)
2, ADV, Advantage Solutions Inc., Communication Services, Advertising Agencies, USA, 3.97B, 15.00, -, 1.01, 1.65, -, -390.90%, 16.18%, 14.46%, -102.30%, -16.00%, -, -, 1.60%, 1.70, 1.70, 0.84, 0.84, 83.40%, -, -, -2.40%, 34.76%, 21.74%, 18.98%, -4.33%, 3.96%
4, AHC, A.H. Belo Corporation, Communication Services, Publishing, USA, 39.01M, -, -, 0.26, 0.90, -, -174.40%, -, -, -70.60%, -8.70%, -6.40%, -16.90%, -29.90%, 2.70, 2.60, 0.00, 0.00, 93.90%, -9.70%, -5.30%, -11.27%, -13.40%, 21.48%, 16.77%, 19.87%, 3.39%
6, AMC, AMC Entertainment Holdings Inc., Communication Services, Entertainment, USA, 11.94B, -, -, 26.58, -, -, 91.60%, 74.20%, -, 93.20%, -84.20%, -27.80%, 130.40%, -136.80%, 0.60, 0.60, -, -, 73.70%, -, -, 156.08%, 184.53%, 481.74%, 409.16%, 1132.08%, 14.77%
8, AMX, America Movil S.A.B. de C.V., Communication Services, Telecom Services, Mexico, 50.44B, 11.03, 1.40, 0.99, 4.48, 5.49, -31.70%, 17.24%, 9.33%, 106.20%, -0.80%, 4.80%, 38.40%, 15.10%, 0.80, 0.70, 2.66, 3.28, 37.30%, 16.50%, 7.70%, 7.48%, 19.15%, 5.78%, 15.91%, 5.71%, 2.00%
10, ANTE, AirNet Technology Inc., Communication Services, Advertising Agencies, China, 51.10M, -, 0.27, 2.18, 1.27, -, 123.90%, -, 20.00%, 117.70%, 14.10%, 6.90%, 26.20%, 2.50%, 0.50, 0.50, 0.08, 0.26, 16.40%, -39.10%, 32.10%, 2.24%, -24.17%, 131.88%, 350.70%, 46.12%, 10.03%
12, ATEX, Anterix Inc., Communication Services, Telecom Services, USA, 873.46M, -, -, 794.06, 3.95, -, 20.40%, 26.40%, -, -34.10%, -50.00%, -21.90%, -23.90%, -16.20%, 11.60, 11.60, 0.00, 0.00, -, -, -, 6.32%, 11.22%, 70.08%, -7.72%, 31.54%, 3.70%
14, ATNI, ATN International Inc., Communication Services, Telecom Services, USA, 751.12M, -, -, 1.60, 1.17, -, -31.20%, -459.30%, 20.00%, 367.70%, 12.30%, -1.00%, -1.60%, 1.20%, 1.50, 1.50, 0.12, 0.13, 68.90%, 1.10%, -2.20%, 2.94%, 0.13%, -5.06%, -20.42%, 13.19%, 3.04%
16, ATVI, Activision Blizzard Inc., Communication Services, Electronic Gaming & Multimedia, USA, 75.57B, 21.84, 1.75, 8.81, 4.92, 26.36, 44.90%, 18.09%, 18.69%, 21.20%, 27.20%, 10.50%, 15.80%, 12.30%, 3.40, -, 0.24, 0.24, 72.80%, 33.70%, 27.00%, 5.60%, -1.49%, 27.11%, 35.11%, 4.74%, 2.28%
18, AUTO, AutoWeb Inc., Communication Services, Internet Content & Information, USA, 38.01M, -, -, 0.54, 2.20, 14.62, 55.50%, 68.80%, 25.00%, 107.50%, -26.90%, -6.10%, -14.60%, -19.80%, 1.40, 1.40, 0.00, 0.60, 34.50%, -4.70%, -3.50%, 10.00%, 1.42%, -5.30%, 194.85%, 15.79%, 5.76%
20, BAOS, Baosheng Media Group Holdings Limited, Communication Services, Advertising Agencies, China, 79.30M, -, -, 6.66, -, -, -, -, -, -82.50%, -69.30%, -, -, -, -, -, -, -, -, -, -, -35.01%, -53.28%, -, -, -69.41%, 7.29%
1, ABNB, Airbnb Inc., Communication Services, Internet Content & Information, USA, 87.09B, -, -, 25.44, 26.69, 214.99, 87.40%, 95.90%, -, -241.40%, 5.40%, -, -, -74.20%, 1.70, 1.70, 0.63, 0.63, 50.50%, -, -, -20.98%, -28.52%, -, -, -4.36%, 4.79%
3, AESE, Allied Esports Entertainment Inc., Communication Services, Entertainment, USA, 94.01M, -, -, 29.38, 2.00, -, -54.10%, -20.00%, -, -535.60%, -50.80%, -67.80%, -111.20%, -91.80%, 2.00, 2.00, 0.03, 0.15, 54.10%, -, -, -17.73%, -1.28%, 132.00%, -5.31%, 46.84%, 7.51%
5, ALSK, Alaska Communications Systems Group Inc., Communication Services, Telecom Services, USA, 180.71M, -, -, 0.74, 1.08, 3.59, -121.90%, -, -, -74.90%, 4.10%, -0.50%, -1.70%, 2.80%, 1.30, 1.10, 0.95, 1.00, 53.60%, 3.70%, -1.20%, 0.00%, 1.22%, 7.10%, 27.20%, -10.03%, 0.60%
7, AMCX, AMC Networks Inc., Communication Services, Broadcasting, USA, 2.25B, 6.83, -, 0.81, 3.34, 3.65, -30.50%, 0.36%, -12.20%, 64.60%, -5.80%, 4.90%, 38.40%, 7.80%, 2.60, 2.60, 4.23, 4.25, 54.70%, 15.10%, 9.30%, 4.95%, -24.53%, 61.93%, 89.88%, 50.07%, 4.53%
9, ANGI, Angi Inc., Communication Services, Internet Content & Information, USA, 7.20B, -, -, 4.76, 5.81, 80.06, -118.80%, 69.20%, -, 121.10%, 12.60%, 0.20%, 0.40%, 0.40%, 3.70, 3.70, 0.58, 0.00, 87.20%, 0.70%, 0.30%, -12.74%, -9.91%, 15.66%, 30.69%, 7.46%, 6.03%
11, ASTS, AST SpaceMobile Inc., Communication Services, Telecom Services, USA, 1.33B, -, -, 223.29, 1.33, -, -70.80%, -, -, -29.50%, 308.80%, 0.00%, 0.00%, -, 27.00, 27.00, 0.00, 0.00, -, -, -, -18.60%, -52.56%, -28.66%, -26.85%, -46.83%, 7.28%
13, ATHM, Autohome Inc., Communication Services, Internet Content & Information, China, 19.74B, 13.79, 2.23, 14.07, 0.72, 37.89, 6.10%, 14.23%, 1.92%, 6.40%, 19.10%, 15.40%, 19.70%, 13.90%, 5.60, 5.60, 0.00, 0.00, 88.50%, 30.40%, 38.60%, -17.52%, -33.85%, -24.32%, 0.18%, -22.64%, 3.08%
15, ATUS, Altice USA Inc., Communication Services, Telecom Services, USA, 9.88B, 14.68, 0.49, 1.00, -, 5.34, 256.40%, 17.06%, 53.92%, -, 1.20%, 2.10%, -535.30%, 6.70%, 0.30, 0.30, -, -, 66.50%, 20.40%, 7.20%, -0.91%, 7.03%, 4.92%, 40.20%, -4.78%, 2.14%
17, AUD, Audacy Inc., Communication Services, Broadcasting, USA, 627.79M, 4.31, -, 0.62, 0.94, 19.20, 41.30%, 213.66%, -, -136.10%, -18.90%, -7.50%, -35.20%, -6.60%, 1.70, 1.70, 2.73, 2.73, 13.40%, -26.50%, -25.40%, -10.86%, -9.38%, 64.15%, 160.48%, 76.11%, 5.98%
19, AVID, Avid Technology Inc., Communication Services, Electronic Gaming & Multimedia, USA, 1.40B, 20.66, 4.39, 3.80, -, 26.91, 41.00%, 25.74%, 15.00%, 170.20%, 9.10%, 7.80%, -15.00%, 40.00%, 1.00, 0.80, -, -, 64.20%, 11.60%, 5.80%, 38.17%, 48.25%, 155.63%, 337.39%, 94.58%, 7.03%
22, BATRK, The Liberty Braves Group, Communication Services, Entertainment, USA, 1.12B, -, -, 6.29, 4.91, -, 25.00%, 84.00%, -, -, 2.90%, -, -, -, -, -, -, -, -, -, -, -0.47%, -7.94%, 4.83%, 24.60%, 9.93%, 3.36%
24, BCE, BCE Inc., Communication Services, Telecom Services, Canada, 44.65B, 17.64, 5.70, 2.35, 3.01, 62.93, -24.80%, 6.90%, 4.25%, -4.90%, 1.20%, 4.00%, 14.40%, 8.70%, 0.80, 0.80, 1.39, 1.60, 69.30%, 19.30%, 10.70%, 5.18%, 14.40%, 13.88%, 19.89%, 16.17%, 0.91%
26, BIDU, Baidu Inc., Communication Services, Internet Content & Information, China, 68.88B, 16.74, 3.45, 3.90, 1.83, -, 862.50%, 21.86%, 2.62%, -18.50%, 24.80%, 14.40%, 25.50%, 4.00%, 2.90, 2.90, 0.27, 0.33, 50.80%, 15.60%, 42.60%, -7.55%, -33.60%, 44.32%, 84.20%, -9.24%, 3.72%
28, BLCT, BlueCity Holdings Limited, Communication Services, Internet Content & Information, China, 255.90M, 32.29, -, 1.58, 1.42, -, 103.80%, -, -, 161.20%, 20.40%, 3.10%, -8.60%, -30.80%, 3.90, 3.80, 0.00, 0.00, 30.20%, -22.80%, 2.20%, -15.28%, -47.31%, -42.58%, -, -30.30%, 6.28%
30, CABO, Cable One Inc., Communication Services, Telecom Services, USA, 10.86B, 32.48, 1.96, 8.07, 6.82, 41.65, 64.70%, 13.58%, 18.40%, -7.70%, 6.30%, 6.90%, 20.90%, 10.70%, 7.20, 7.20, 1.90, 1.92, 69.20%, 35.60%, 22.60%, 0.72%, -5.66%, -8.30%, -3.78%, -18.50%, 3.03%
32, CARG, CarGurus Inc., Communication Services, Internet Content & Information, USA, 3.31B, 23.73, 1.92, 5.87, 6.46, 17.68, 83.30%, 9.99%, 19.40%, 70.50%, 8.70%, 16.70%, 23.00%, 20.40%, 3.80, 3.80, 0.00, 0.00, 90.20%, 19.70%, 15.40%, 11.94%, 6.85%, 13.02%, 8.62%, -11.06%, 4.45%
34, CCO, Clear Channel Outdoor Holdings Inc., Communication Services, Advertising Agencies, USA, 1.13B, -, -, 0.67, -, -, -42.60%, 38.50%, 1.00%, -19.20%, -32.70%, -11.40%, 22.60%, -8.60%, 1.10, 1.10, -, -, 32.80%, -24.40%, -38.10%, -7.00%, 34.27%, 55.19%, 147.46%, 44.85%, 7.98%
36, CDLX, Cardlytics Inc., Communication Services, Internet Content & Information, USA, 3.53B, -, -, 18.15, 4.19, -, -182.10%, 33.30%, 19.20%, -67.70%, 16.90%, -13.20%, -22.60%, -16.30%, 7.60, 7.60, 0.24, 0.24, 42.00%, -33.00%, -34.30%, -23.38%, -24.58%, -13.46%, 56.48%, -25.37%, 6.80%
38, CHTR, Charter Communications Inc., Communication Services, Entertainment, USA, 149.07B, 24.97, 1.22, 3.05, 6.33, 20.37, 106.60%, 39.09%, 32.45%, 110.70%, 6.70%, 2.50%, 14.40%, 7.20%, 0.40, 0.40, 3.99, 4.04, 52.70%, 17.50%, 7.40%, 3.67%, 12.08%, 6.62%, 27.67%, 4.99%, 2.35%
40, CMCSA, Comcast Corporation, Communication Services, Entertainment, USA, 263.44B, 15.68, 1.27, 2.53, 2.84, 19.86, -19.60%, 24.56%, 17.82%, 53.50%, 2.20%, 4.30%, 13.30%, 7.10%, 1.00, 1.00, 1.12, 1.18, 67.60%, 17.00%, 11.20%, 1.67%, 5.31%, 10.69%, 44.80%, 9.43%, 2.09%
