Index, Symbol, Company Name, Sector, Industry, Country, Market Cap, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, EPS This Y, EPS Next Y, EPS Next 5Y, EPS Q/Q, Sales Q/Q, ROA, ROE, ROI, Current Ratio, Quick Ratio, LT Debt/Equity, Debt/Equity, Gross Margin, Operating Margin, Net Margin, Perf Month, Perf Quarter, Perf Half Y, Perf Year, Perf YTD, Volatility (Month)
2, ABG, Asbury Automotive Group Inc., Consumer Cyclical, Auto & Truck Dealerships, USA, 3.86B, 11.78, 0.63, 0.50, 3.83, 5.28, 38.00%, -1.62%, 18.50%, 373.40%, 36.40%, 9.60%, 38.20%, 11.20%, 1.30, 0.50, 1.16, 1.72, 17.30%, 6.50%, 4.20%, -2.86%, 15.18%, 64.12%, 174.34%, 36.06%, 3.15%
4, ADNT, Adient plc, Consumer Cyclical, Auto Parts, Ireland, 4.70B, 8.96, -, 0.36, 3.17, -, -11.20%, 54.12%, 38.34%, 454.80%, 8.80%, -1.40%, -10.50%, -5.00%, 1.10, 0.90, 2.45, 2.46, 5.70%, -0.50%, -1.10%, 6.04%, 33.81%, 62.53%, 194.30%, 43.97%, 4.06%
6, AEVA, Aeva Technologies Inc., Consumer Cyclical, Auto Parts, USA, 2.03B, -, -, 418.33, 1.26, -, -, -, 20.00%, -, -11.80%, -0.40%, -0.40%, -, 0.00, 0.00, 0.00, 0.00, -, -, -, -0.20%, -36.04%, -8.96%, 2.95%, -32.87%, 6.60%
8, AIN, Albany International Corp., Consumer Cyclical, Textile Manufacturing, USA, 2.84B, 26.16, -, 3.20, 3.51, 24.82, -25.60%, 15.25%, -1.20%, 202.00%, -5.70%, 7.80%, 15.20%, 10.10%, 4.20, 3.50, 0.47, 0.47, 41.70%, 19.00%, 13.20%, -1.18%, 6.37%, 25.21%, 48.18%, 21.70%, 3.16%
10, ALV, Autoliv Inc., Consumer Cyclical, Auto Parts, Sweden, 9.30B, 12.33, 0.66, 1.19, 3.70, 17.53, -59.50%, 25.32%, 52.80%, 109.40%, 21.50%, 3.40%, 12.00%, 5.80%, 1.40, 1.10, 0.81, 0.93, 17.50%, 6.20%, 3.40%, 3.04%, 14.22%, 15.60%, 66.77%, 15.12%, 2.07%
12, AMWD, American Woodmark Corporation, Consumer Cyclical, Furnishings Fixtures & Appliances, USA, 1.50B, 10.02, 3.15, 0.86, 1.93, 10.90, -8.60%, 16.94%, 8.00%, 33.70%, 9.10%, 3.90%, 8.80%, 8.20%, 1.90, 1.20, 0.68, 0.68, 18.30%, 6.50%, 3.70%, -14.97%, -9.76%, -5.16%, 38.50%, -7.38%, 2.92%
14, AN, AutoNation Inc., Consumer Cyclical, Auto & Truck Dealerships, USA, 8.29B, 10.61, 0.52, 0.38, 2.66, 5.66, -13.60%, -4.49%, 20.00%, 210.60%, 26.50%, 8.90%, 26.40%, 7.40%, 1.00, 0.40, 0.56, 0.56, 17.50%, 5.20%, 3.90%, -1.12%, 33.98%, 61.24%, 158.69%, 46.34%, 2.82%
16, AOUT, American Outdoor Brands Inc., Consumer Cyclical, Leisure, USA, 458.35M, 15.87, -, 1.80, 1.61, -, -910.40%, -7.39%, -, -, 90.70%, -, -, -45.10%, 4.70, 2.80, 0.00, 0.00, -, -, -, 19.16%, 51.51%, 129.11%, -, 88.08%, 4.86%
18, APTV, Aptiv PLC, Consumer Cyclical, Auto Parts, Ireland, 40.81B, 29.47, 2.08, 2.94, 5.03, 41.18, 69.90%, 36.91%, 43.73%, -83.30%, 24.70%, 2.90%, 6.30%, 17.20%, 2.00, 1.60, 0.49, 0.50, 15.70%, 6.70%, 3.40%, 4.07%, -2.80%, 26.97%, 99.63%, 15.45%, 2.97%
20, ARD, Ardagh Group S.A., Consumer Cyclical, Packaging & Containers, Luxembourg, 5.83B, 11.98, -, 0.85, -, 38.08, 99.30%, 24.50%, 4.10%, -94.60%, 9.40%, -0.40%, 13.30%, 4.50%, 3.00, 2.50, -, -, 15.50%, 4.00%, -0.70%, -7.70%, -5.43%, 34.51%, 105.23%, 43.58%, 2.55%
1, AAP, Advance Auto Parts Inc., Consumer Cyclical, Specialty Retail, USA, 12.34B, 16.04, 2.19, 1.22, 3.61, 19.11, 4.40%, 14.90%, 12.11%, 19.70%, 12.00%, 4.10%, 13.50%, 11.80%, 1.30, 0.40, 0.29, 0.00, 44.40%, 6.90%, 4.90%, -5.46%, 16.64%, 26.99%, 36.18%, 20.46%, 2.09%
