Index, Symbol, Company Name, Sector, Industry, Country, Market Cap, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, EPS This Y, EPS Next Y, EPS Next 5Y, EPS Q/Q, Sales Q/Q, ROA, ROE, ROI, Current Ratio, Quick Ratio, LT Debt/Equity, Debt/Equity, Gross Margin, Operating Margin, Net Margin, Perf Month, Perf Quarter, Perf Half Y, Perf Year, Perf YTD, Volatility (Month)
2, ABEV, Ambev S.A., Consumer Defensive, Beverages - Brewers, Brazil, 54.46B, 24.71, -, 0.93, 0.74, -, -7.10%, 7.70%, -3.45%, 65.50%, 21.60%, -, -, -, -, -, -, -, -, -, -, 19.72%, 38.40%, 28.66%, 53.72%, 13.07%, 2.85%
4, ACU, Acme United Corporation, Consumer Defensive, Household & Personal Products, USA, 148.77M, 14.71, 1.70, 0.87, 2.16, -, 44.50%, 12.70%, 10.00%, 44.20%, 21.50%, 6.90%, 14.40%, 9.00%, 4.20, 1.80, 0.73, 0.73, 35.90%, 7.20%, 5.20%, -8.82%, 12.98%, 29.26%, 95.37%, 38.70%, 4.00%
6, AFYA, Afya Limited, Consumer Defensive, Education & Training Services, Brazil, 2.13B, 16.32, 3.79, 9.27, 3.93, 31.45, 37.60%, 27.69%, 10.36%, 6.90%, 44.80%, 6.80%, 10.90%, 8.60%, 2.10, 2.10, 0.33, 0.40, 63.80%, 33.80%, 25.00%, -0.30%, 2.54%, -14.25%, 19.13%, -7.47%, 4.40%
8, AGRO, Adecoagro S.A., Consumer Defensive, Farm Products, Luxembourg, 1.20B, 9.55, -, 1.43, 1.35, 6.81, 153.30%, -13.72%, -0.60%, 133.10%, 9.90%, 3.10%, 8.40%, 8.40%, 2.20, 1.20, 1.04, 1.25, 26.70%, 27.80%, 8.80%, 12.96%, 27.46%, 73.13%, 146.64%, 56.32%, 3.71%
10, AKO-B, Embotelladora Andina S.A., Consumer Defensive, Beverages - Non-Alcoholic, Chile, 2.11B, 10.60, 1.37, 0.89, 1.93, -, -29.80%, 10.08%, 10.50%, -11.30%, 2.40%, -, -, 9.80%, 2.60, 2.10, 1.09, 1.13, 39.00%, -, -, 1.17%, -14.63%, 10.61%, 11.11%, -1.63%, 5.85%
12, AMBO, Ambow Education Holding Ltd., Consumer Defensive, Education & Training Services, China, 57.61M, -, -, 0.69, 2.41, -, 38.50%, -, 25.00%, 184.10%, 0.10%, -5.90%, -42.00%, -47.10%, 0.70, 0.70, 0.07, 0.14, 27.20%, -14.20%, -11.80%, 9.48%, -5.33%, -9.77%, 40.43%, 6.45%, 11.09%
14, APEI, American Public Education Inc., Consumer Defensive, Education & Training Services, USA, 523.60M, 16.59, 1.18, 1.56, 1.13, 13.12, 103.10%, 63.88%, 15.00%, 208.40%, 18.60%, 6.30%, 7.50%, 5.80%, 6.80, 6.80, 0.00, 0.00, 62.70%, 9.70%, 7.30%, -9.21%, -6.54%, -10.37%, -10.91%, -8.14%, 3.89%
16, AQB, AquaBounty Technologies Inc., Consumer Defensive, Farm Products, USA, 383.52M, -, -, 1917.60, 1.52, -, 31.50%, 14.30%, -, 43.80%, 8.30%, -14.70%, -16.00%, -13.10%, 106.90, 105.90, 0.04, 0.04, -, -, -, -7.01%, -25.17%, 30.77%, 100.74%, -37.90%, 6.72%
18, ARKO, Arko Corp., Consumer Defensive, Grocery Stores, USA, 1.29B, 22.18, -, 0.29, 7.28, -, 130.30%, 83.33%, -, -54.40%, 65.00%, 0.30%, 5.10%, 6.80%, 1.40, 1.00, 4.89, 5.10, 18.70%, 2.30%, 0.20%, 1.35%, 10.77%, 4.17%, 3.86%, 16.56%, 2.82%
20, ATGE, Adtalem Global Education Inc., Consumer Defensive, Education & Training Services, USA, 1.83B, 11.02, 3.24, 1.67, 1.41, 18.38, 151.50%, 11.00%, 3.65%, -79.70%, 3.40%, -7.70%, -14.30%, 9.30%, 3.90, 3.90, 0.82, 0.82, 56.10%, 13.10%, -17.20%, -1.54%, -6.69%, 24.33%, 8.73%, 7.16%, 3.73%
1, AACG, ATA Creativity Global, Consumer Defensive, Education & Training Services, China, 93.51M, -, -, 3.57, 3.07, -, 40.00%, -, 25.00%, 5.70%, 15.00%, -16.50%, -44.20%, -48.10%, 0.40, 0.40, 0.00, 0.03, 40.00%, -63.50%, -58.00%, -11.31%, -42.14%, 134.65%, 231.11%, 150.42%, 7.05%
3, ACI, Albertsons Companies Inc., Consumer Defensive, Grocery Stores, USA, 8.85B, 9.43, -, 0.13, 6.78, 3.98, 83.00%, 3.04%, -11.66%, -167.20%, 2.20%, 3.20%, 63.00%, 13.00%, 1.00, 0.40, 6.12, 6.28, 29.30%, 2.20%, 1.20%, -0.62%, 15.19%, 21.46%, -, 9.16%, 2.90%
5, ADM, Archer-Daniels-Midland Company, Consumer Defensive, Farm Products, USA, 37.21B, 14.98, 2.41, 0.54, 1.80, -, 24.80%, -1.31%, 7.50%, 79.40%, 26.20%, 4.40%, 10.40%, 3.90%, 1.60, 0.90, 0.40, 0.54, 7.40%, 2.60%, 3.00%, 4.67%, 16.11%, 31.74%, 69.24%, 31.98%, 1.54%
7, AGFS, AgroFresh Solutions Inc., Consumer Defensive, Farm Products, USA, 119.69M, -, -, 0.73, 0.42, -, -20.50%, -20.90%, 15.00%, 162.90%, 18.20%, -7.50%, -20.90%, -5.20%, 3.10, 2.70, 0.95, 0.96, 73.10%, 4.50%, -35.50%, -0.45%, -9.05%, -7.14%, -16.92%, -2.64%, 6.84%
9, AKO-A, Embotelladora Andina S.A., Consumer Defensive, Beverages - Non-Alcoholic, Chile, 1.96B, -, -, -, 1.64, -, -, -, -, -11.30%, 2.40%, -, -, -, -, -, -, -, -, -, -, -9.42%, -14.56%, 13.97%, 28.90%, -6.91%, 4.46%
11, ALCO, Alico Inc., Consumer Defensive, Farm Products, USA, 240.64M, 18.39, -, 2.39, 1.08, 300.80, -37.50%, 304.65%, -, 36.00%, 10.70%, 6.40%, 13.10%, -0.20%, 2.00, 0.90, 0.60, 0.64, 21.20%, 10.70%, 27.80%, 6.14%, 8.04%, 0.00%, -0.28%, 3.16%, 2.91%
13, ANDE, The Andersons Inc., Consumer Defensive, Food Distribution, USA, 1.03B, 15.54, 2.15, 0.11, 1.05, -, -58.00%, 10.07%, 8.00%, 139.20%, 42.20%, 1.60%, 6.30%, 0.70%, 1.30, 0.60, 0.92, 1.90, 5.20%, 0.80%, 0.70%, 7.95%, 15.97%, 34.08%, 139.81%, 26.81%, 3.77%
15, APPH, AppHarvest Inc., Consumer Defensive, Farm Products, USA, 1.64B, -, -, 713.92, 3.04, -, 42.20%, 32.70%, -, -, -, -15.80%, -17.30%, -, 9.50, 9.30, 0.00, 0.00, -, -, -, 0.00%, -45.87%, 39.68%, -, 6.39%, 8.49%
17, ARCE, Arco Platform Limited, Consumer Defensive, Education & Training Services, Brazil, 1.52B, 6.09, 57.87, 7.41, 4.03, 109.80, 264.50%, 52.17%, 6.20%, 195.80%, 26.80%, 0.60%, 1.20%, 4.40%, 1.30, 1.30, 0.01, 0.16, 77.50%, 13.80%, 2.30%, 10.03%, -16.01%, -30.48%, -40.06%, -18.12%, 7.06%
19, ASPU, Aspen Group Inc., Consumer Defensive, Education & Training Services, USA, 150.68M, 153.16, -, 2.40, 2.84, -, 43.00%, 122.20%, 40.00%, 2.30%, 32.80%, -12.30%, -18.70%, -8.20%, 2.30, 2.30, 0.00, 0.00, 58.40%, -12.30%, -14.00%, 16.63%, -39.38%, -51.50%, -30.63%, -47.71%, 5.10%
22, BEDU, Bright Scholar Education Holdings Limited, Consumer Defensive, Education & Training Services, China, 464.41M, 7.80, 3.06, 0.91, 1.08, 6.62, -32.00%, 67.09%, 15.86%, -197.10%, -7.80%, 0.60%, 2.30%, 4.00%, 1.30, 1.30, 0.68, 0.99, 32.20%, 4.70%, 2.00%, -28.97%, -36.12%, -37.39%, -43.64%, -28.47%, 5.33%
24, BF-B, Brown-Forman Corporation, Consumer Defensive, Beverages - Wineries & Distilleries, USA, 37.25B, 42.45, 5.72, 11.09, 15.57, 97.78, 15.90%, 11.48%, 7.41%, -5.20%, 1.30%, 14.70%, 40.50%, 19.90%, 3.70, 2.10, 0.95, 1.08, 61.00%, 35.30%, 27.10%, 2.91%, 10.29%, -0.97%, 21.89%, 1.17%, 1.63%
