Index, Symbol, Company Name, Sector, Industry, Country, Market Cap, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, EPS This Y, EPS Next Y, EPS Next 5Y, EPS Q/Q, Sales Q/Q, ROA, ROE, ROI, Current Ratio, Quick Ratio, LT Debt/Equity, Debt/Equity, Gross Margin, Operating Margin, Net Margin, Perf Month, Perf Quarter, Perf Half Y, Perf Year, Perf YTD, Volatility (Month)
2, ALTM, Altus Midstream Company, Energy, Oil & Gas Midstream, USA, 1.04B, 15.47, 101.71, 7.36, -, -, 100.30%, 15.26%, 17.20%, 102.20%, -16.60%, -, -, 16.50%, 3.50, 3.30, -, -, 72.50%, -, -, 4.36%, 22.01%, 55.70%, 356.38%, 32.70%, 5.87%
4, AMPY, Amplify Energy Corp., Energy, Oil & Gas E&P, USA, 132.91M, 2.08, -, 0.61, -, 1.76, -927.10%, 911.43%, 15.00%, 94.80%, 24.80%, -28.10%, 752.80%, -195.60%, 0.80, 0.80, -, -, 47.90%, -46.20%, -53.70%, 37.69%, 23.00%, 220.87%, 235.45%, 181.68%, 8.54%
6, APA, APA Corporation, Energy, Oil & Gas E&P, USA, 7.87B, 11.80, -, 1.59, -, 5.20, -36.40%, -25.97%, -, 108.60%, 39.20%, 0.10%, -0.50%, -60.50%, 1.80, 1.40, -, -, 63.30%, 12.70%, 0.20%, 0.58%, 6.56%, 47.31%, 92.77%, 46.58%, 4.17%
8, ARCH, Arch Resources Inc., Energy, Thermal Coal, USA, 886.87M, 6.85, -, 0.62, 3.10, -, -268.30%, 99.45%, -, 76.30%, -11.80%, -18.70%, -88.00%, -41.40%, 2.00, 1.40, 1.86, 1.95, 7.50%, -21.60%, -22.90%, 24.07%, 20.99%, 64.85%, 73.15%, 30.39%, 5.90%
10, ARLP, Alliance Resource Partners L.P., Energy, Thermal Coal, USA, 778.38M, 13.70, -, 0.60, 0.70, -, -132.60%, -45.96%, -6.83%, 117.10%, -9.20%, -, -, -5.00%, 1.20, 0.80, 0.45, 0.50, 97.90%, -, -, 3.65%, -2.30%, 37.33%, 88.01%, 33.04%, 4.60%
12, ASC, Ardmore Shipping Corporation, Energy, Oil & Gas Midstream, Bermuda, 146.69M, 15.59, -, 0.73, 0.48, 4.45, 73.70%, 160.40%, 42.64%, -230.50%, -30.10%, -2.80%, -6.40%, 2.50%, 1.50, 1.30, 1.14, 1.25, 30.50%, 1.00%, -10.50%, 10.86%, 18.16%, 27.56%, -23.12%, 37.31%, 6.22%
14, BATL, Battalion Oil Corporation, Energy, Oil & Gas E&P, USA, 201.75M, -, -, 1.29, 3.53, 2.36, 80.30%, -, -, -129.10%, 17.10%, -89.40%, -249.70%, -104.60%, 0.40, 0.40, 2.72, 2.76, 73.10%, -, -, 1.22%, 6.90%, 64.46%, 110.17%, 49.40%, 7.60%
16, BKEP, Blueknight Energy Partners L.P., Energy, Oil & Gas Midstream, USA, 165.92M, -, 13.51, 1.49, 0.43, -, 208.90%, -, 4.00%, -99.30%, 5.40%, -, -, 5.90%, 0.60, 0.60, 0.28, 0.00, 62.00%, -, -, 18.69%, 74.67%, 136.69%, 187.77%, 101.01%, 5.11%
18, BOOM, DMC Global Inc., Energy, Oil & Gas Equipment & Services, USA, 990.01M, 29.07, -, 4.69, 3.75, -, -104.20%, 176.06%, 20.00%, -90.20%, -24.30%, -, -, -0.20%, 2.90, 1.90, 0.00, 0.00, 21.40%, -, -, -2.49%, -17.77%, 23.96%, 85.53%, 22.47%, 5.50%
20, BP, BP p.l.c., Energy, Oil & Gas Integrated, United Kingdom, 87.66B, 9.12, -, 0.64, 1.17, 187.72, -608.80%, 9.52%, -3.00%, 205.80%, 11.50%, -4.30%, -15.90%, -11.60%, 1.30, 0.90, 0.90, 0.99, 23.80%, -8.80%, -8.30%, 2.86%, 6.71%, 22.51%, 13.35%, 27.83%, 2.02%
