Index, Symbol, Company Name, Sector, Industry, Country, Market Cap, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, EPS This Y, EPS Next Y, EPS Next 5Y, EPS Q/Q, Sales Q/Q, ROA, ROE, ROI, Current Ratio, Quick Ratio, LT Debt/Equity, Debt/Equity, Gross Margin, Operating Margin, Net Margin, Perf Month, Perf Quarter, Perf Half Y, Perf Year, Perf YTD, Volatility (Month)
2, AAC, Ares Acquisition Corporation, Financial, Shell Companies, USA, 977.00M, -, -, -, 244.25, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -0.51%, -, -, -, -1.01%, 0.63%
4, AADR, AdvisorShares Dorsey Wright ADR ETF, Financial, Exchange Traded Fund, USA, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -0.17%, 3.10%, 15.97%, 35.05%, 8.87%, 1.14%
6, AAME, Atlantic American Corporation, Financial, Insurance - Life, USA, 87.60M, -, -, 0.43, 0.66, 6.64, -, -, -, 93.50%, 24.60%, 5.00%, 14.70%, 7.70%, -, -, 0.25, 0.25, -, 13.00%, 9.50%, 3.59%, -9.03%, 109.79%, 139.23%, 110.19%, 6.24%
8, AAXJ, iShares MSCI All Country Asia ex Japan ETF, Financial, Exchange Traded Fund, USA, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -0.92%, -3.09%, 9.29%, 45.86%, 5.27%, 0.95%
10, ABCB, Ameris Bancorp, Financial, Banks - Regional, USA, 3.84B, 13.48, 1.30, 5.32, 1.38, -, 37.00%, -19.49%, 8.00%, 544.50%, -2.60%, 1.80%, 14.10%, 13.80%, -, -, 0.18, 0.18, -, 80.70%, 50.90%, 1.09%, 12.08%, 53.76%, 126.74%, 44.31%, 3.72%
12, ABGI, ABG Acquisition Corp. I, Financial, Shell Companies, USA, 192.43M, -, -, -, 1.28, -, -, -, -, -, -, -, -, -, 10.10, 10.10, 0.00, 0.00, -, -, -, -0.10%, -2.93%, -, -, -3.77%, 0.84%
14, AC, Associated Capital Group Inc., Financial, Capital Markets, USA, 803.37M, -, -, 43.90, 0.89, -, -52.30%, -, -, 125.60%, -23.30%, -, -, -2.40%, -, -, 0.00, 0.02, -, -, -, 2.69%, -2.32%, -2.34%, -10.28%, 4.36%, 2.11%
16, ACAHU, Atlantic Coastal Acquisition Corp., Financial, Shell Companies, USA, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -0.40%, -, -, -, -0.50%, 0.37%
18, ACBI, Atlantic Capital Bancshares Inc., Financial, Banks - Regional, USA, 574.21M, 14.13, 0.97, 5.84, 1.68, 5.78, -12.30%, -3.21%, 18.00%, 570.20%, -2.30%, 1.00%, 10.00%, 19.70%, -, -, 0.22, 0.22, -, 95.00%, 34.30%, 5.95%, 33.52%, 80.37%, 146.67%, 76.63%, 3.73%
20, ACEV, ACE Convergence Acquisition Corp., Financial, Shell Companies, USA, 286.64M, -, -, -, 1.55, -, -, -, -, -, -, -11.90%, -13.70%, -, 0.30, 0.30, 0.00, 0.00, -, -, -, 0.30%, -14.05%, 1.22%, -, -2.45%, 0.63%
1, AAAU, Goldman Sachs Physical Gold ETF, Financial, Exchange Traded Fund, USA, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 7.22%, 10.40%, 5.37%, 9.70%, 0.03%, 0.80%
3, AACQ, Artius Acquisition Inc., Financial, Shell Companies, USA, 901.98M, -, -, -, 1.41, -, -, -33.30%, -, -, -, -1.80%, -2.00%, -, 3.60, 3.60, 0.00, 0.00, -, -, -, -0.60%, -11.31%, 0.40%, -, -6.30%, 0.74%
5, AAMC, Altisource Asset Management Corporation, Financial, Asset Management, USA, 34.33M, -, -, -, -, -, -33.70%, -, -, -, -, -, -, -, 4.00, 4.00, -, -, -, -, -, -0.99%, -25.09%, -24.09%, 8.10%, -27.57%, 4.51%
7, AAQC, Accelerate Acquisition Corp., Financial, Shell Companies, USA, 387.60M, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -0.92%, -
9, AB, AllianceBernstein Holding L.P., Financial, Asset Management, USA, 4.52B, 12.14, 1.01, 13.82, 2.78, 766.73, 15.90%, 9.60%, 14.78%, 27.80%, 27.20%, 19.20%, 19.20%, 17.40%, -, -, 0.00, 0.00, -, 100.00%, 91.10%, 5.88%, 20.72%, 41.20%, 80.34%, 33.34%, 2.72%
11, ABEQ, Absolute Core Strategy ETF, Financial, Exchange Traded Fund, USA, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 2.99%, 10.33%, 13.68%, 25.99%, 11.27%, 0.45%
13, ABTX, Allegiance Bancshares Inc., Financial, Banks - Regional, USA, 818.91M, 14.67, -, 3.31, 1.07, 14.42, -10.30%, -20.12%, -, 421.00%, 9.20%, 1.00%, 8.00%, 18.80%, -, -, 0.34, 0.34, -, 86.30%, 24.30%, -0.12%, 4.67%, 23.62%, 58.38%, 18.84%, 2.59%
15, ACACU, Acies Acquisition Corp., Financial, Shell Companies, USA, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 1.33%, -4.05%, 6.68%, -, -0.65%, 1.50%
17, ACBAU, Ace Global Business Acquisition Limited, Financial, Shell Companies, Hong Kong, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 1.00%, -, -, -, 2.18%, 0.19%
19, ACES, ALPS Clean Energy ETF, Financial, Exchange Traded Fund, USA, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -7.45%, -18.73%, -1.72%, 91.39%, -13.70%, 2.79%
22, ACGL, Arch Capital Group Ltd., Financial, Insurance - Diversified, Bermuda, 16.02B, 10.30, 0.18, 1.77, 1.30, 5.35, -14.20%, 28.89%, 55.42%, 223.70%, 42.70%, 3.90%, 14.00%, 10.10%, -, -, 0.24, 0.24, -, 23.70%, 18.40%, -0.62%, 11.08%, 18.90%, 41.35%, 10.59%, 2.11%
24, ACII, Atlas Crest Investment Corp. II, Financial, Shell Companies, USA, 420.87M, -, -, -, 1.26, -, -, -, -, -, -, -, -, -, 16.40, 16.40, 0.00, 0.00, -, -, -, -1.12%, -, -, -, -2.60%, 0.49%
26, ACKIT, Ackrell SPAC Partners I Co., Financial, Shell Companies, USA, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -0.20%, -2.45%, -, -, -2.45%, 0.17%
28, ACNB, ACNB Corporation, Financial, Banks - Regional, USA, 249.12M, -, -, 2.97, 0.97, 14.92, -36.60%, -, -, 694.60%, -7.20%, 1.10%, 10.60%, 23.10%, -, -, 0.00, 0.00, -, 81.00%, 32.30%, 4.27%, 3.41%, 6.03%, 16.02%, 15.28%, 2.51%
30, ACP, Aberdeen Income Credit Strategies Fund, Financial, Closed-End Fund - Debt, USA, 201.89M, -, -, 9.85, 1.14, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -6.26%, 4.49%, 15.00%, 42.04%, 9.19%, 2.50%
32, ACQRU, Independence Holdings Corp., Financial, Shell Companies, USA, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -0.10%, -, -, -, 0.40%, 0.70%
34, ACTCU, ArcLight Clean Transition Corp., Financial, Shell Companies, USA, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 5.88%, -15.16%, 104.95%, -, 73.95%, 6.45%
36, ACV, AllianzGI Diversified Income & Convertible Fund, Financial, Asset Management, USA, 345.30M, -, -, -, -, -, -, -, 3.20%, -, -, -, -, -, -, -, -, -, -, -, -, -0.40%, -3.67%, 12.91%, 47.58%, 2.05%, 1.26%
38, ACWI, iShares MSCI ACWI ETF, Financial, Exchange Traded Fund, USA, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 0.53%, 6.35%, 14.54%, 39.37%, 10.95%, 0.85%
40, ACWX, iShares MSCI ACWI ex U.S. ETF, Financial, Exchange Traded Fund, USA, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 1.71%, 5.17%, 13.35%, 39.27%, 9.99%, 0.81%
