Index, Symbol, Company Name, Sector, Industry, Country, Market Cap, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, EPS This Y, EPS Next Y, EPS Next 5Y, EPS Q/Q, Sales Q/Q, ROA, ROE, ROI, Current Ratio, Quick Ratio, LT Debt/Equity, Debt/Equity, Gross Margin, Operating Margin, Net Margin, Perf Month, Perf Quarter, Perf Half Y, Perf Year, Perf YTD, Volatility (Month)
2, ABBV, AbbVie Inc., Healthcare, Drug Manufacturers - General, USA, 198.38B, 8.13, 8.88, 3.95, 14.61, 20.85, -48.50%, 10.77%, 4.50%, 6.50%, 50.90%, 3.40%, 35.80%, 12.70%, 0.80, 0.70, 5.41, 6.24, 64.90%, 23.60%, 10.10%, 2.08%, 4.42%, 8.64%, 22.15%, 5.65%, 1.77%
4, ABCL, AbCellera Biologics Inc., Healthcare, Biotechnology, Canada, 7.36B, -, -, 17.06, 7.56, -, 415.00%, -100.00%, -, -, 4253.50%, -, -, 13.60%, 10.30, 10.30, 0.00, 0.00, -, -, -, -6.78%, -32.40%, -, -, -33.33%, 8.02%
6, ABEO, Abeona Therapeutics Inc., Healthcare, Biotechnology, USA, 163.40M, -, -, 16.34, 1.65, -, 40.00%, 11.60%, -, 67.30%, -, -33.80%, -48.10%, -78.10%, 2.20, 2.20, 0.01, 0.02, -, -, -, -1.79%, -29.49%, 17.02%, -50.15%, 5.10%, 10.47%
8, ABMD, Abiomed Inc., Healthcare, Medical Devices, USA, 12.95B, 54.52, 3.37, 15.28, 9.68, 58.54, 11.40%, 19.70%, 17.10%, 77.70%, 16.70%, 16.40%, 18.50%, 12.50%, 6.10, 5.50, 0.00, 0.00, 80.90%, 27.10%, 26.60%, -11.88%, -12.24%, 7.87%, 27.10%, -12.22%, 3.07%
10, ABUS, Arbutus Biopharma Corporation, Healthcare, Biotechnology, USA, 274.71M, -, -, 36.63, -, -, 65.40%, 14.60%, -, 15.70%, 40.00%, -61.40%, 147.90%, 122.00%, 20.50, 20.50, -, -, -, -, -, -19.37%, -26.30%, -24.93%, 30.41%, -20.28%, 6.59%
12, ACB, Aurora Cannabis Inc., Healthcare, Drug Manufacturers - Specialty & Generic, Canada, 1.91B, -, -, 6.70, 0.81, -, -, -, -, -, 22.70%, -, -, -, -, -, -, -, -, -, -, 7.81%, -12.50%, 10.91%, -31.39%, 16.25%, 6.40%
14, ACER, Acer Therapeutics Inc., Healthcare, Biotechnology, USA, 42.40M, -, -, 10.60, 3.96, -, 29.40%, -27.70%, -, 78.20%, -, -87.10%, -192.80%, -, 1.10, 1.10, 0.00, 0.00, -, -, -, -1.01%, -9.85%, 12.69%, -4.56%, 11.83%, 5.67%
16, ACHC, Acadia Healthcare Company Inc., Healthcare, Medical Care Facilities, USA, 5.72B, 22.97, 3.28, 2.68, 2.47, -, 169.00%, 14.32%, 11.99%, 19.00%, 8.20%, -, -, 5.30%, 1.30, 1.30, 0.65, 0.66, -, -, -, 4.80%, 14.85%, 48.67%, 124.96%, 28.05%, 2.67%
18, ACHV, Achieve Life Sciences Inc., Healthcare, Biotechnology, Canada, 71.53M, -, -, -, 1.63, -, 86.40%, 29.50%, -, -, -, -65.80%, -72.20%, -, 8.70, 8.70, 0.00, 0.00, -, -, -, -27.58%, -31.07%, -11.69%, -1.91%, -1.11%, 7.23%
20, ACOR, Acorda Therapeutics Inc., Healthcare, Biotechnology, USA, 36.01M, -, -, 0.23, 0.17, -, 64.30%, 39.10%, 29.00%, -333.90%, 2.80%, -19.10%, -48.30%, -14.80%, 1.40, 1.20, 0.82, 1.15, 72.90%, -65.50%, -82.30%, -23.46%, -37.48%, -13.07%, -17.07%, -10.16%, 7.08%
