Index, Symbol, Company Name, Sector, Industry, Country, Market Cap, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, EPS This Y, EPS Next Y, EPS Next 5Y, EPS Q/Q, Sales Q/Q, ROA, ROE, ROI, Current Ratio, Quick Ratio, LT Debt/Equity, Debt/Equity, Gross Margin, Operating Margin, Net Margin, Perf Month, Perf Quarter, Perf Half Y, Perf Year, Perf YTD, Volatility (Month)
2, AAN, "The Aarons Company Inc.", Industrials, Rental & Leasing Services, USA, 1.23B, 12.74, -, 0.69, 1.67, -, -6.00%, -0.53%, -12.10%, 363.70%, -64.30%, -, -, -36.30%, -, -, 0.00, 0.00, -, -, -, 14.85%, 61.88%, 35.74%, -, 89.72%, 4.47%
4, AAWW, Atlas Air Worldwide Holdings Inc., Industrials, Airports & Air Services, USA, 2.19B, 7.09, 0.49, 0.64, 0.90, 2.36, 218.90%, -22.87%, 10.00%, 239.20%, 33.80%, 7.20%, 19.90%, 6.30%, 1.00, 1.00, 0.84, 0.96, 58.10%, 13.60%, 12.40%, 8.41%, 35.45%, 33.78%, 91.83%, 37.39%, 2.99%
6, ABM, ABM Industries Incorporated, Industrials, Specialty Business Services, USA, 3.36B, 15.80, 4.67, 0.57, 2.14, 7.39, -99.80%, -0.63%, 16.00%, 163.90%, -7.50%, 1.20%, 3.20%, 1.90%, 1.40, 1.40, 0.37, 0.44, 16.10%, 2.70%, 0.80%, -5.73%, 13.31%, 23.92%, 62.35%, 31.84%, 2.27%
8, ACCO, ACCO Brands Corporation, Industrials, Business Equipment & Supplies, USA, 863.17M, 6.07, 2.60, 0.51, 1.22, 13.24, -39.00%, 23.11%, 10.00%, -361.40%, 6.90%, 1.20%, 4.70%, 5.10%, 1.60, 0.90, 1.63, 1.70, 29.50%, 5.60%, 2.00%, 4.47%, 6.43%, 12.33%, 47.17%, 7.81%, 2.96%
10, ACTG, Acacia Research Corporation, Industrials, Specialty Business Services, USA, 261.19M, 14.86, 0.17, 8.76, 0.92, -, 549.20%, 89.47%, 20.00%, 12556.00%, 528.60%, 23.10%, 44.50%, -4.60%, 3.70, 3.70, 0.00, 0.41, 75.30%, -65.50%, -, -12.87%, -24.86%, 41.53%, 106.56%, 35.79%, 5.28%
12, ADES, Advanced Emissions Solutions Inc., Industrials, Pollution & Treatment Controls, USA, 150.78M, -, -, 2.14, 1.45, -, -158.10%, -, 50.00%, 812.90%, 71.50%, -, -, -43.70%, 2.00, 1.70, 0.04, 0.14, 35.20%, -, -, 66.81%, 31.24%, 36.19%, 57.54%, 44.36%, 7.01%
14, ADT, ADT Inc., Industrials, Security & Protection Services, USA, 8.50B, 12.11, -, 1.62, 2.84, 7.09, -43.50%, 19.94%, -7.00%, 85.20%, -4.80%, -2.40%, -12.70%, 0.50%, 0.70, 0.50, 3.17, 3.20, 71.60%, 1.10%, -7.20%, 9.30%, 33.59%, 29.09%, 46.05%, 31.72%, 4.53%
16, AEIS, Advanced Energy Industries Inc., Industrials, Electrical Equipment & Parts, USA, 3.92B, 15.59, 4.27, 2.70, 4.62, 21.33, 139.00%, 18.43%, 5.94%, 108.60%, 11.40%, 9.40%, 19.70%, 13.50%, 3.20, 2.40, 0.36, 0.38, 39.10%, 13.40%, 10.70%, -10.92%, -8.40%, 8.06%, 52.64%, 5.20%, 4.06%
18, AER, AerCap Holdings N.V., Industrials, Airports & Air Services, Ireland, 7.71B, 7.50, -, 1.79, 0.83, 4.99, -127.70%, 32.56%, 0.50%, -17.70%, -7.60%, -0.80%, -3.80%, 2.70%, -, -, 3.12, 0.00, 95.00%, 22.00%, -8.10%, -1.67%, 24.53%, 45.21%, 83.00%, 29.44%, 3.56%
20, AGCO, AGCO Corporation, Industrials, Farm & Heavy Construction Machinery, USA, 10.45B, 14.57, 0.99, 1.09, 3.38, 15.02, 320.70%, 11.71%, 20.60%, 133.10%, 23.40%, 6.30%, 17.80%, 8.90%, 1.30, 0.60, 0.30, 0.42, 22.70%, 7.20%, 5.30%, -4.02%, 7.81%, 52.36%, 157.10%, 37.74%, 3.21%
1, AAL, American Airlines Group Inc., Industrials, Airlines, USA, 15.67B, -, -, 1.22, -, -, -583.80%, 96.20%, -, 62.60%, -52.90%, -12.20%, 134.30%, -30.50%, 1.00, 0.90, -, -, 35.80%, -71.60%, -61.50%, 13.80%, 14.45%, 62.25%, 130.86%, 53.71%, 3.72%
3, AAON, AAON Inc., Industrials, Building Products & Equipment, USA, 3.46B, 43.08, 4.00, 7.02, 9.29, 72.21, 45.90%, 16.60%, 12.00%, -26.40%, -15.80%, 16.30%, 21.10%, 22.10%, 3.70, 2.40, 0.02, 0.02, 29.60%, 18.80%, 14.90%, -1.94%, -14.38%, 0.58%, 22.30%, -0.57%, 2.64%
5, ABB, ABB Ltd, Industrials, Specialty Industrial Machinery, Switzerland, 73.74B, 20.94, 9.51, 2.75, 5.03, 56.90, -71.60%, 32.52%, 14.60%, 71.40%, 11.00%, 12.20%, 36.20%, 4.30%, 1.20, 0.90, 0.41, 0.51, 31.20%, 6.90%, 19.70%, 2.71%, 16.60%, 28.59%, 73.65%, 22.10%, 1.14%
7, ACA, Arcosa Inc., Industrials, Infrastructure Operations, USA, 3.07B, 24.90, 8.32, 1.63, 1.59, 23.94, -5.90%, 28.53%, 4.10%, -49.60%, -9.80%, 3.40%, 4.80%, 5.60%, 2.20, 1.30, 0.13, 0.13, 19.30%, 6.90%, 4.80%, -1.11%, 10.38%, 18.23%, 66.36%, 15.60%, 3.14%
9, ACM, AECOM, Industrials, Engineering & Construction, USA, 9.58B, 19.90, 1.76, 0.72, 3.40, 12.85, -19.60%, 16.93%, 21.76%, 93.00%, 0.60%, -0.60%, -2.40%, 6.30%, 1.10, 1.10, 0.73, 0.75, 5.70%, 3.60%, -0.60%, -3.40%, 10.90%, 24.44%, 67.68%, 30.59%, 2.02%
11, ACY, AeroCentury Corp., Industrials, Rental & Leasing Services, USA, 15.06M, -, -, 1.08, -, 3.42, -153.60%, -, -, 46.80%, -43.70%, -37.30%, 341.20%, -50.20%, -, -, -, -, -, -, -, -2.60%, -17.06%, 355.41%, 328.39%, -5.95%, 15.17%
13, ADP, Automatic Data Processing Inc., Industrials, Staffing & Employment Services, USA, 83.93B, 30.00, 3.71, 5.73, 14.71, 57.20, 8.50%, 9.76%, 9.19%, -0.30%, 1.30%, 5.30%, 42.70%, 30.80%, 1.00, 1.00, 0.35, 0.35, 42.10%, 21.40%, 16.90%, 4.04%, 10.43%, 12.60%, 33.81%, 11.25%, 1.81%
15, AEHL, Antelope Enterprise Holdings Limited, Industrials, Building Products & Equipment, China, 12.01M, -, -, 0.42, 0.55, -, -, -, -, 88.00%, 0.40%, -70.70%, -123.80%, -122.50%, 2.10, 1.40, 0.48, 0.61, -14.20%, -, -, -6.71%, -21.19%, 11.39%, 36.14%, 6.45%, 6.91%
17, AENZ, Aenza S.A.A., Industrials, Engineering & Construction, Peru, 242.59M, -, -, 0.28, -, -, 86.10%, -, 4.96%, -, 2.60%, -2.10%, -9.50%, 0.80%, 1.10, 0.90, 1.03, 0.00, 8.60%, -, -3.90%, -4.46%, -33.92%, -30.88%, -30.23%, -36.97%, 7.29%
19, AFI, Armstrong Flooring Inc., Industrials, Building Products & Equipment, USA, 132.71M, -, -, 0.22, 0.53, -, -1.50%, -, 47.60%, 303.80%, 7.40%, -4.60%, -9.60%, -20.10%, 1.70, 0.70, 0.16, 0.21, 13.50%, -3.50%, -3.90%, 8.80%, 17.44%, 70.22%, 77.19%, 58.64%, 5.29%
22, AGX, Argan Inc., Industrials, Engineering & Construction, USA, 783.14M, 12.15, 4.01, 2.00, 2.40, 6.22, 145.00%, 94.23%, 10.00%, 230.50%, 72.40%, 4.20%, 7.30%, 5.50%, 2.00, 2.00, 0.00, 0.00, 15.80%, 5.80%, 6.10%, -1.05%, -6.01%, 7.04%, 38.58%, 10.36%, 2.56%
24, AIR, AAR Corp., Industrials, Aerospace & Defense, USA, 1.46B, 18.62, 12.26, 0.90, 1.57, 37.66, -68.70%, 72.06%, 7.39%, 1121.70%, -25.80%, 0.30%, 0.60%, 2.40%, 2.70, 1.20, 0.22, 0.22, 14.70%, 1.80%, 0.30%, 2.83%, -0.74%, 43.03%, 106.99%, 15.27%, 3.22%
26, AIRT, Air T Inc., Industrials, Integrated Freight & Logistics, USA, 64.37M, -, -, 0.33, 3.20, -, -119.10%, -, -, -, -23.90%, -0.70%, -4.90%, 9.20%, 2.30, 1.30, 4.07, 6.10, 20.10%, -0.40%, -0.60%, 6.07%, -12.37%, 113.31%, 156.51%, -6.67%, 4.86%
28, AJRD, Aerojet Rocketdyne Holdings Inc., Industrials, Aerospace & Defense, USA, 3.87B, 23.83, 2.60, 1.85, 13.57, -, -2.00%, 11.09%, 12.30%, -40.00%, 4.20%, 4.50%, 26.00%, 23.10%, 1.30, 1.30, 1.15, 1.79, 17.60%, 10.50%, 5.90%, 2.93%, 3.76%, 39.22%, 22.62%, 1.74%, 0.80%
30, ALG, Alamo Group Inc., Industrials, Farm & Heavy Construction Machinery, USA, 1.82B, 18.30, 4.73, 1.57, 2.84, 12.16, -10.30%, 18.36%, 6.60%, 11.90%, -1.00%, 5.00%, 9.60%, 7.90%, 3.50, 2.10, 0.53, 0.55, 25.00%, 8.20%, 5.00%, -2.77%, -2.02%, 12.86%, 49.23%, 11.77%, 2.27%
32, ALJJ, ALJ Regional Holdings Inc., Industrials, Specialty Business Services, USA, 62.19M, -, -, 0.15, 4.26, 3.84, -288.60%, -, -, 101.30%, 34.00%, -1.90%, -24.20%, -47.80%, 1.20, 1.10, 5.62, 6.50, 19.30%, 1.60%, -0.90%, 5.67%, -0.67%, 39.25%, 129.23%, 35.45%, 4.69%
34, ALLE, Allegion plc, Industrials, Security & Protection Services, Ireland, 12.61B, 24.69, 4.13, 4.60, 17.52, 30.85, -20.50%, 9.09%, 7.44%, 26900.00%, 2.90%, 14.20%, 55.20%, 15.60%, 2.10, 1.50, 1.96, 1.96, 43.40%, 18.50%, 15.40%, 2.38%, 25.77%, 21.93%, 40.90%, 20.71%, 1.76%
