Index, Symbol, Company Name, Sector, Industry, Country, Market Cap, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, EPS This Y, EPS Next Y, EPS Next 5Y, EPS Q/Q, Sales Q/Q, ROA, ROE, ROI, Current Ratio, Quick Ratio, LT Debt/Equity, Debt/Equity, Gross Margin, Operating Margin, Net Margin, Perf Month, Perf Quarter, Perf Half Y, Perf Year, Perf YTD, Volatility (Month)
2, AAT, American Assets Trust Inc., Real Estate, REIT - Diversified, USA, 2.18B, 44.96, 43.36, 6.56, 1.74, -, -45.30%, 112.27%, 3.00%, -89.60%, -13.10%, 0.60%, 1.30%, 3.30%, -, -, 1.31, 1.31, 64.70%, 22.80%, 5.10%, 3.07%, 14.29%, 19.88%, 39.66%, 26.56%, 2.39%
4, ACC, American Campus Communities Inc., Real Estate, REIT - Residential, USA, 6.38B, 82.45, 74.35, 7.47, 2.12, 166.96, -15.20%, 131.58%, 17.62%, -81.50%, -6.70%, 0.10%, 0.20%, 2.70%, -, -, 1.20, 1.20, 50.00%, 13.80%, 0.60%, 4.38%, 13.47%, 14.91%, 46.01%, 10.26%, 1.84%
6, ACRE, Ares Commercial Real Estate Corporation, Real Estate, REIT - Mortgage, USA, 611.96M, 10.38, -, 4.66, 0.91, -, -48.70%, 2.67%, -1.81%, 183.80%, -9.00%, 2.70%, 11.10%, 1.10%, -, -, 2.59, 2.59, 54.90%, 42.10%, 41.80%, 2.71%, 7.44%, 35.04%, 103.92%, 27.56%, 2.07%
8, AEI, Alset EHome International Inc., Real Estate, Real Estate - Development, USA, 34.72M, -, -, 1.57, 0.67, -, 35.30%, -, -, -, -68.20%, -, -, -2.90%, 4.00, 3.90, 0.01, 0.02, 28.00%, -0.10%, -, -60.18%, -72.26%, -33.28%, -, -31.94%, 9.78%
10, AFIN, American Finance Trust Inc., Real Estate, REIT - Diversified, USA, 1.00B, -, -, 3.23, 0.60, 36.91, -, -, -, -2.70%, 6.20%, -1.30%, -2.90%, 1.30%, -, -, 1.07, 1.07, 73.60%, 15.40%, -15.10%, -9.09%, 2.13%, 9.77%, 24.32%, 22.48%, 2.93%
12, AGNC, AGNC Investment Corp., Real Estate, REIT - Mortgage, USA, 9.72B, 7.61, -, 2.78, 1.00, 9.80, -156.60%, -8.52%, -0.05%, 139.80%, -, 3.60%, 32.30%, -0.40%, -, -, 0.02, 5.59, 92.10%, 89.40%, 86.50%, 3.29%, 16.17%, 18.47%, 43.28%, 18.85%, 1.34%
14, AHT, Ashford Hospitality Trust Inc., Real Estate, REIT - Hotel & Motel, USA, 601.71M, -, -, 1.76, -, -, -109.20%, 99.40%, 5.00%, 88.30%, -58.90%, -13.10%, 248.60%, -11.20%, -, -, -, -, -17.20%, -, -, 67.36%, 23.85%, 35.91%, -41.30%, 56.37%, 14.06%
16, AIV, Apartment Investment and Management Company, Real Estate, REIT - Residential, USA, 1.05B, 27.12, 17.12, 6.90, 2.01, -, -101.10%, 165.00%, 7.10%, 355.10%, 3.90%, 0.20%, 0.70%, -0.30%, -, -, 1.85, 0.00, -, -, -, 3.83%, 45.36%, 68.01%, 77.73%, 33.52%, 2.85%
18, AKR, Acadia Realty Trust, Real Estate, REIT - Retail, USA, 1.86B, -, 139.10, 7.35, 1.28, 27.67, -116.70%, 19.20%, 3.00%, 159.60%, -2.80%, 0.10%, 0.30%, -3.00%, -, -, 1.17, 1.17, 60.50%, -16.60%, 1.70%, 1.64%, 13.38%, 43.80%, 85.00%, 52.92%, 2.97%
20, ALX, "Alexanders Inc.", Real Estate, REIT - Retail, USA, 1.38B, -, -, 6.86, 6.83, -, -30.20%, -, -, 290.70%, 3.90%, 4.00%, 26.30%, -, -, -, 5.69, 5.69, 52.30%, 35.50%, 27.50%, -3.01%, -2.35%, -5.31%, 4.36%, -2.23%, 2.33%
1, AAIC, Arlington Asset Investment Corp., Real Estate, REIT - Mortgage, USA, 134.88M, 15.71, -, 3.18, 0.66, 9.43, -743.40%, 44.69%, -, 92.10%, -, 1.80%, 8.50%, -, -, -, 0.64, 3.12, 77.40%, -, 41.20%, -0.25%, 0.25%, 22.96%, 69.58%, 7.67%, 2.65%
3, ABR, Arbor Realty Trust Inc., Real Estate, REIT - Mortgage, USA, 2.42B, 9.79, 1.07, 3.54, 1.59, 3.89, -4.00%, 1.36%, 8.00%, 190.20%, 87.10%, 4.00%, 24.30%, 1.70%, -, -, 4.30, 4.30, 76.40%, 46.50%, 42.80%, 1.96%, 8.12%, 32.85%, 116.63%, 28.63%, 2.57%
5, ACR, ACRES Commercial Realty Corp., Real Estate, REIT - Mortgage, USA, 142.33M, 12.34, 36.71, 1.41, 0.47, -, -888.90%, 323.73%, 5.00%, 105.40%, 92.70%, 0.10%, 0.50%, -, -, -, 3.89, 3.89, 42.00%, 14.40%, 1.50%, -0.64%, 13.88%, 40.44%, 157.00%, 28.82%, 3.80%
7, ADC, Agree Realty Corporation, Real Estate, REIT - Retail, USA, 4.48B, 35.80, -, 16.54, 1.58, -, -10.10%, 5.20%, -0.90%, 2.70%, 39.40%, 2.70%, 4.10%, 3.30%, -, -, 0.49, 0.49, 87.90%, 50.00%, 36.90%, 0.59%, 8.51%, 4.83%, 11.96%, 5.56%, 1.61%
9, AFCG, AFC Gamma Inc., Real Estate, REIT - Specialty, USA, 307.44M, -, -, 26.77, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 0.17%, -, -, -, 0.00%, 4.89%
11, AFINO, American Finance Trust Inc., Real Estate, REIT - Diversified, USA, -, -, -, -, -, -, -, -, -, -, 1.30%, -, -, -, -, -, -, -, -, -, -, 0.90%, 3.31%, -, -, 3.81%, 0.70%
13, AHH, Armada Hoffler Properties Inc., Real Estate, REIT - Diversified, USA, 1.06B, 43.51, 8.40, 2.82, 2.20, 29.60, -6.50%, -14.08%, 5.00%, -63.00%, -9.30%, 1.00%, 5.20%, 3.70%, -, -, 2.78, 2.86, 31.30%, 12.30%, 4.80%, -3.14%, 2.95%, 18.69%, 53.94%, 18.27%, 2.63%
15, AIRC, Apartment Income REIT Corp., Real Estate, REIT - Residential, USA, 7.21B, 96.84, -, 10.15, 5.24, -, -321.60%, -35.87%, -, 1139.40%, -21.50%, -, -, -2.00%, -, -, 3.27, 3.27, -, -, -, 3.42%, 12.16%, -, -, 21.27%, 2.20%
17, AJX, Great Ajax Corp., Real Estate, REIT - Mortgage, USA, 289.67M, 9.42, -, 2.92, 0.77, -, -15.30%, 8.52%, -, 92.00%, -5.40%, 1.80%, 8.00%, 2.30%, 0.50, 0.50, 2.28, 3.10, 34.40%, 43.30%, 29.40%, 2.77%, 9.09%, 23.65%, 53.66%, 20.46%, 2.17%
19, ALEX, Alexander & Baldwin Inc., Real Estate, REIT - Diversified, USA, 1.36B, 32.84, 7.11, 4.45, 1.27, 33.47, 117.90%, 44.44%, 20.00%, -82.50%, -32.30%, 0.50%, 0.90%, 1.70%, 12.20, 10.30, 0.63, 0.63, 33.60%, 11.70%, 3.10%, 7.20%, 8.90%, 14.62%, 68.36%, 11.82%, 2.42%
22, AMT, American Tower Corporation REIT, Real Estate, REIT - Specialty, USA, 113.26B, 45.98, 3.30, 13.80, 29.23, 111.71, -10.60%, 6.48%, 17.96%, 55.30%, 8.30%, 4.30%, 50.10%, 8.00%, 0.70, 0.70, 7.21, 7.55, 72.60%, 35.50%, 23.40%, 2.02%, 19.50%, 9.64%, -1.05%, 13.81%, 1.71%
24, APTS, Preferred Apartment Communities Inc., Real Estate, REIT - Residential, USA, 488.44M, -, -, 1.00, 0.35, 6.38, -154.30%, 13.10%, 7.00%, 83.50%, -11.60%, -3.70%, -10.70%, -2.10%, -, -, 1.86, 1.89, 73.00%, 18.00%, -34.10%, -3.25%, 17.63%, 19.93%, 40.34%, 32.57%, 2.52%
26, ARI, Apollo Commercial Real Estate Finance Inc., Real Estate, REIT - Mortgage, USA, 2.17B, 10.74, 183.86, 5.19, 0.96, -, -99.20%, 5.50%, 0.07%, 143.10%, -7.90%, 2.70%, 8.10%, 1.40%, -, -, 2.11, 0.00, 65.70%, 53.90%, 44.80%, 1.82%, 15.50%, 38.25%, 90.16%, 40.11%, 2.23%
28, ARR, ARMOUR Residential REIT Inc., Real Estate, REIT - Mortgage, USA, 853.45M, 9.80, -, 2.78, 0.77, -, 22.30%, 15.69%, -2.47%, 114.80%, -, 4.50%, 27.30%, -, -, -, 0.00, 3.71, 99.10%, 85.60%, 82.60%, -2.76%, -1.48%, 11.53%, 53.13%, 11.12%, 1.64%
30, AXR, AMREP Corporation, Real Estate, Real Estate Services, USA, 105.65M, -, -, 4.05, 1.25, 70.44, -138.40%, -, -, 583.60%, 49.10%, -0.40%, -0.50%, -7.00%, -, -, 0.06, 0.06, 30.00%, -5.40%, -1.50%, 30.46%, 75.99%, 137.00%, 216.00%, 66.51%, 7.86%
32, BEKE, KE Holdings Inc., Real Estate, Real Estate Services, China, 60.13B, 37.52, -, 0.85, 5.67, -, 126.50%, 39.84%, 4.82%, -, 190.70%, -, -, 1.80%, 2.50, 2.50, 0.00, 0.01, -, -, -, -1.42%, -21.57%, -14.23%, -, -15.68%, 5.32%
34, BHR, Braemar Hotels & Resorts Inc., Real Estate, REIT - Hotel & Motel, USA, 293.60M, -, -, 1.52, 0.83, -, -979.90%, 59.10%, 15.30%, 40.90%, -28.70%, -, -, -5.90%, -, -, 3.81, 3.81, 56.10%, -, -, -2.84%, -9.69%, 40.41%, 80.88%, 33.41%, 6.79%
36, BPY, Brookfield Property Partners L.P., Real Estate, Real Estate Services, Bermuda, 17.53B, 10.32, -, 2.85, 0.81, 14.10, -226.80%, 398.40%, -, 151.30%, -23.70%, -0.80%, -7.10%, 0.00%, 0.20, 0.20, 3.38, 4.80, 65.20%, 1.40%, -13.60%, 4.27%, 9.63%, 13.95%, 81.37%, 29.85%, 1.19%
38, BRG, Bluerock Residential Growth REIT Inc., Real Estate, REIT - Residential, USA, 273.34M, -, -, 1.25, 5.68, 6.48, -119.00%, -47.50%, 10.00%, 242.70%, -0.70%, -0.20%, -18.30%, 1.00%, -, -, 37.08, 37.08, 62.70%, 6.00%, -2.70%, 2.43%, -10.75%, 2.86%, 51.01%, -23.36%, 3.79%
40, BRT, BRT Apartments Corp., Real Estate, REIT - Residential, USA, 311.09M, -, -, 10.99, 1.82, -, 70.70%, -82.40%, -, 23.80%, 2.90%, -5.10%, -10.30%, -4.00%, -, -, 0.98, 0.98, 56.00%, -45.80%, -66.50%, -3.81%, 9.93%, 35.73%, 58.95%, 17.96%, 3.47%
21, AMH, American Homes 4 Rent, Real Estate, REIT - Residential, USA, 12.03B, 106.94, -, 9.98, 2.08, 30.34, -3.10%, 17.11%, -, 41.60%, 8.80%, 1.00%, 1.70%, 1.30%, -, -, 0.50, 0.50, 54.20%, 9.60%, 7.90%, 3.39%, 24.37%, 31.91%, 50.83%, 26.90%, 1.98%
23, APLE, Apple Hospitality REIT Inc., Real Estate, REIT - Hotel & Motel, USA, 3.58B, 26.32, -, 6.85, 1.18, -, -200.90%, 1000.00%, -, -, -33.30%, -4.40%, -7.10%, -2.20%, -, -, 0.58, 0.58, 52.50%, -27.30%, -41.50%, 0.25%, 12.16%, 18.26%, 55.44%, 22.93%, 2.87%
25, ARE, Alexandria Real Estate Equities Inc., Real Estate, REIT - Office, USA, 25.98B, 53.53, 309.64, 13.49, 1.88, -, 92.80%, 44.78%, 0.10%, -69.90%, 9.10%, 3.30%, 6.70%, 2.20%, -, -, 0.66, 0.66, 72.00%, 19.10%, 38.90%, -0.79%, 11.71%, 9.64%, 15.96%, 0.02%, 1.48%
27, ARL, American Realty Investors Inc., Real Estate, Real Estate - Development, USA, 179.35M, -, -, 3.11, 0.68, -, 156.40%, -, -, 507.40%, -9.90%, -, -, 0.00%, -, -, 1.71, 1.71, 58.60%, -, -, 29.56%, 9.01%, 16.90%, 41.81%, -2.29%, 4.15%
29, AVB, AvalonBay Communities Inc., Real Estate, REIT - Residential, USA, 28.49B, 65.08, 14.25, 12.66, 2.70, 96.35, 4.70%, 8.42%, 2.54%, -14.40%, -8.40%, 4.20%, 7.40%, 2.60%, -, -, 0.71, 0.71, 63.00%, 18.90%, 35.50%, 8.06%, 16.90%, 20.98%, 32.65%, 28.99%, 1.67%
31, BDN, Brandywine Realty Trust, Real Estate, REIT - Office, USA, 2.40B, 101.15, 1.58, 4.71, 1.35, 32.51, 823.70%, 54.44%, 5.00%, -11.60%, -16.70%, 7.70%, 17.50%, 3.10%, -, -, 1.04, 1.04, 61.80%, 21.60%, 59.50%, 3.08%, 12.93%, 21.10%, 45.70%, 18.05%, 2.11%
33, BFS, Saul Centers Inc., Real Estate, REIT - Retail, USA, 1.03B, -, 5.23, 4.40, 4.07, 46.25, -20.50%, -, 7.60%, -29.40%, 4.90%, 1.60%, 13.00%, 3.80%, -, -, 4.51, 4.51, 74.00%, 19.70%, 11.20%, 2.68%, 21.18%, 37.40%, 46.31%, 40.31%, 2.26%
