Index, Symbol, Company Name, Sector, Industry, Country, Market Cap, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, EPS This Y, EPS Next Y, EPS Next 5Y, EPS Q/Q, Sales Q/Q, ROA, ROE, ROI, Current Ratio, Quick Ratio, LT Debt/Equity, Debt/Equity, Gross Margin, Operating Margin, Net Margin, Perf Month, Perf Quarter, Perf Half Y, Perf Year, Perf YTD, Volatility (Month)
2, AAPL, Apple Inc., Technology, Consumer Electronics, USA, 2090.63B, 23.29, 1.56, 6.42, 30.17, 27.42, 10.20%, 3.02%, 17.93%, 118.60%, 53.60%, 22.90%, 111.80%, 31.70%, 1.10, 1.10, 1.57, 1.76, 39.90%, 27.30%, 23.50%, -6.65%, -2.49%, 7.39%, 56.77%, -6.09%, 1.86%
4, ACIW, ACI Worldwide Inc., Technology, Software - Infrastructure, USA, 4.60B, 29.98, 3.98, 3.57, 3.75, 13.92, 8.80%, 10.96%, 12.00%, 92.10%, -2.20%, 3.00%, 8.20%, 5.00%, 1.30, 1.30, 0.92, 0.94, 52.20%, 13.10%, 7.40%, -3.02%, -2.79%, 15.33%, 38.72%, -0.44%, 2.97%
6, ACMR, ACM Research Inc., Technology, Semiconductor Equipment & Materials, USA, 1.46B, 34.43, 3.61, 8.32, 9.98, 610.06, -10.20%, 57.31%, 20.00%, 110.90%, 85.40%, 5.10%, 12.40%, 12.80%, 2.50, 1.70, 0.13, 0.32, 44.00%, 11.30%, 8.10%, -5.02%, -29.45%, -1.39%, 27.08%, -6.49%, 6.01%
8, ACVA, ACV Auctions Inc., Technology, Software - Application, USA, 4.02B, -, -, 17.10, 6.70, -, 46.90%, 15.60%, 0.80%, 37.00%, 63.70%, -, -, 30.50%, 2.80, 2.80, 0.01, 0.01, 47.70%, -12.70%, -13.10%, -25.41%, -, -, -, -17.06%, 7.07%
10, ADI, Analog Devices Inc., Technology, Semiconductors, USA, 60.20B, 23.65, 3.00, 9.71, 4.99, 47.22, -10.00%, 10.85%, 13.08%, 57.50%, 26.10%, 7.30%, 13.00%, 8.20%, 1.00, 0.80, 0.31, 0.42, 67.40%, 30.10%, 25.20%, 4.17%, 3.79%, 21.07%, 45.73%, 11.42%, 2.46%
12, ADTN, ADTRAN Inc., Technology, Communication Equipment, USA, 971.88M, 30.81, 31.78, 1.87, 2.59, -, 104.40%, 23.65%, 2.30%, 108.80%, 11.40%, 2.50%, 3.60%, -0.30%, 3.20, 2.00, 0.00, 0.00, 42.30%, -1.20%, 2.50%, 12.30%, 11.79%, 58.48%, 73.77%, 34.12%, 4.43%
14, AEY, ADDvantage Technologies Group Inc., Technology, Electronics & Computer Distribution, USA, 31.19M, -, -, 0.63, 2.80, -, -298.70%, -, -, 82.50%, 5.80%, -18.80%, -42.30%, -75.50%, 1.50, 1.10, 0.17, 0.61, 30.90%, -14.30%, -12.00%, 27.09%, -16.23%, -7.53%, 40.22%, -13.71%, 6.35%
16, AFRM, Affirm Holdings Inc., Technology, Information Technology Services, USA, 15.19B, -, -, 21.60, 5.90, -, 6.50%, 54.90%, -0.71%, -200.30%, 66.90%, -, -, -20.60%, -, -, 0.83, 0.83, -, -39.00%, -41.70%, -17.85%, -33.50%, -, -, -37.46%, 8.58%
18, AGYS, Agilysys Inc., Technology, Software - Application, USA, 1.25B, 55.21, -, 9.10, 14.98, 46.22, 31.40%, 30.50%, 0.05%, 9.60%, -8.60%, -13.00%, -30.40%, -26.00%, 2.20, 2.20, 0.00, 0.00, 65.20%, -15.30%, -17.20%, -1.03%, -19.27%, 32.06%, 164.12%, 32.33%, 4.65%
20, AIRG, Airgain Inc., Technology, Communication Equipment, USA, 207.43M, 27.84, -, 3.79, 3.88, -, -468.10%, 157.40%, 35.00%, 117.60%, 55.40%, -3.20%, -3.80%, -7.20%, 3.80, 3.50, 0.00, 0.00, 44.20%, -7.00%, -3.40%, -7.59%, -17.94%, 48.58%, 119.82%, 11.64%, 5.83%
1, AAOI, Applied Optoelectronics Inc., Technology, Semiconductors, USA, 220.48M, -, -, 0.90, 0.78, -, 19.10%, 65.50%, 13.00%, 28.90%, 22.70%, -11.90%, -21.20%, -13.20%, 2.10, 1.10, 0.33, 0.54, 22.50%, -18.50%, -23.50%, 4.05%, -8.76%, -2.37%, -6.80%, -3.29%, 5.77%
3, ABST, Absolute Software Corporation, Technology, Software - Application, Canada, 682.72M, -, -, 6.12, -, -, -, -, -, -29.80%, 15.70%, -, -, -, -, -, -, -, -, -, -, -10.09%, -10.90%, 36.95%, 61.07%, 16.71%, 3.50%
5, ACLS, Axcelis Technologies Inc., Technology, Semiconductor Equipment & Materials, USA, 1.38B, 16.09, 1.29, 2.82, 2.87, 36.61, 190.80%, 32.31%, 20.00%, 44.40%, 11.60%, 9.10%, 11.80%, 9.80%, 5.70, 3.60, 0.10, 0.10, 42.90%, 13.30%, 11.30%, -3.47%, 4.36%, 53.94%, 54.34%, 42.31%, 4.42%
7, ACN, Accenture plc, Technology, Information Technology Services, Ireland, 186.27B, 30.06, 3.42, 4.08, 9.80, 25.25, 7.30%, 10.80%, 9.75%, 15.10%, 8.50%, 14.50%, 31.50%, 28.90%, 1.40, 1.40, 0.00, 0.00, 31.70%, 14.90%, 11.90%, -3.55%, 9.30%, 13.17%, 39.95%, 8.02%, 1.36%
9, ADBE, Adobe Inc., Technology, Software - Infrastructure, USA, 238.18B, 36.88, 2.50, 17.41, 17.84, 41.14, 80.50%, 15.38%, 17.50%, 33.40%, 26.30%, 23.90%, 45.10%, 30.60%, 1.30, 1.30, 0.30, 0.00, 87.50%, 34.70%, 40.70%, -2.23%, 7.46%, 7.34%, 30.52%, 0.89%, 2.08%
11, ADSK, Autodesk Inc., Technology, Software - Application, USA, 63.09B, 41.66, 1.38, 16.20, 64.97, 45.18, 440.10%, 39.41%, 35.58%, 549.10%, 15.60%, 7.00%, 178.10%, 49.60%, 0.80, 0.80, 1.70, 1.70, 91.10%, 14.90%, 11.00%, -3.52%, 0.56%, 5.39%, 35.88%, -6.38%, 2.61%
13, AEHR, Aehr Test Systems, Technology, Semiconductor Equipment & Materials, USA, 49.99M, -, -, 3.94, 5.00, -, 47.60%, 62.50%, 20.00%, -395.00%, -13.10%, -29.10%, -46.00%, -17.70%, 2.40, 1.20, 0.02, 0.30, 18.90%, -42.20%, -43.00%, -2.60%, -27.18%, 34.73%, 36.36%, -11.07%, 9.19%
