Index, Symbol, Company Name, Sector, Industry, Country, Market Cap, Forward PE, PEG, Price/Sales, Price/Book, Price/FCF, EPS This Y, EPS Next Y, EPS Next 5Y, EPS Q/Q, Sales Q/Q, ROA, ROE, ROI, Current Ratio, Quick Ratio, LT Debt/Equity, Debt/Equity, Gross Margin, Operating Margin, Net Margin, Perf Month, Perf Quarter, Perf Half Y, Perf Year, Perf YTD, Volatility (Month)
2, AEE, Ameren Corporation, Utilities, Utilities - Regulated Electric, USA, 21.38B, 20.86, 2.86, 3.61, 2.34, 24.92, 4.50%, 7.34%, 7.70%, 54.70%, 8.70%, 3.10%, 11.00%, 5.60%, 0.80, 0.60, 1.26, 1.36, 84.80%, 23.20%, 16.20%, 0.07%, 17.78%, 4.49%, 12.67%, 7.87%, 1.52%
4, AES, The AES Corporation, Utilities, Utilities - Diversified, USA, 16.88B, 15.12, -, 1.70, 7.26, 51.16, -85.80%, 8.25%, 8.15%, -203.10%, 12.70%, -0.70%, -10.40%, 5.30%, 1.20, 1.20, 7.87, 8.52, 28.60%, 10.70%, -2.50%, -8.92%, -5.89%, 21.12%, 103.44%, 8.13%, 2.73%
6, AGR, Avangrid Inc., Utilities, Utilities - Regulated Electric, USA, 16.25B, 21.51, 2.88, 2.50, 1.06, -, -12.90%, 4.61%, 8.40%, 39.10%, 9.90%, 1.80%, 4.40%, 3.20%, 1.20, 1.10, 0.68, 0.70, 78.40%, 14.60%, 10.40%, 4.38%, 13.98%, 12.28%, 18.44%, 15.91%, 1.81%
8, AQN, Algonquin Power & Utilities Corp., Utilities, Utilities - Renewable, Canada, 9.15B, -, -, 5.45, 1.82, -, -, -, -, 193.00%, 11.90%, -, -, -, -, -, -, -, -, -, -, -5.21%, -2.92%, -1.80%, 9.14%, -7.17%, 1.60%
10, ATO, Atmos Energy Corporation, Utilities, Utilities - Regulated Gas, USA, 12.96B, 18.30, 2.52, 4.05, 1.64, -, 12.40%, 6.69%, 7.17%, -32.60%, -28.80%, 4.20%, 9.90%, 6.00%, 1.90, 1.80, 0.94, 0.94, 71.70%, 28.80%, 21.80%, -2.95%, 15.65%, -0.24%, -3.51%, 3.92%, 1.70%
12, AWK, American Water Works Company Inc., Utilities, Utilities - Regulated Water, USA, 27.84B, 33.64, 4.58, 7.29, 4.26, -, 13.50%, 8.65%, 8.60%, 6.70%, 5.20%, 2.90%, 11.10%, 5.90%, 0.60, 0.60, 1.42, 1.63, -, 32.40%, 18.80%, 0.38%, 7.65%, 1.23%, 22.06%, 1.01%, 1.75%
14, AY, Atlantica Sustainable Infrastructure plc, Utilities, Utilities - Renewable, United Kingdom, 3.99B, 33.44, 2.29, 3.85, 2.46, 12.26, -81.20%, 9.80%, 49.50%, 55.30%, 11.80%, 0.30%, 2.20%, 4.50%, 1.80, 1.80, 3.35, 3.78, 96.10%, 38.90%, 3.20%, -7.86%, -1.92%, 3.50%, 38.74%, -4.29%, 3.29%
16, BEP, Brookfield Renewable Partners L.P., Utilities, Utilities - Renewable, Bermuda, 10.93B, 116.97, -, 2.85, 2.08, -, -, -, -, -, -2.70%, -, -, -, -, -, -, -, -, -, -, -1.17%, -6.88%, -5.14%, 52.74%, -7.83%, 3.19%
18, BIP, Brookfield Infrastructure Partners L.P., Utilities, Utilities - Diversified, Bermuda, 22.56B, 36.81, 2.27, 2.41, 2.64, 155.59, 290.90%, 21.74%, 41.30%, 115.00%, 22.20%, 0.30%, 3.00%, 5.30%, 1.00, 0.90, 3.93, 4.18, 47.20%, 24.60%, 1.80%, 0.00%, 5.55%, 5.02%, 33.35%, 9.76%, 1.50%
20, BKH, Black Hills Corporation, Utilities, Utilities - Diversified, USA, 4.11B, 16.16, 3.83, 2.29, 1.57, -, 11.20%, 4.57%, 4.67%, 2.00%, 17.90%, 2.90%, 9.00%, 6.10%, 0.50, 0.40, 1.34, 1.66, -, 23.10%, 12.90%, -4.36%, 9.91%, 1.95%, 6.61%, 7.06%, 1.73%
1, ADN, Advent Technologies Holdings Inc., Utilities, Utilities - Renewable, USA, 488.00M, -, -, 325.33, 3.66, -, -718.50%, -, -, -, 56.50%, -, -, -, 26.50, 26.40, 0.00, 0.00, 76.70%, -, -, -16.61%, -27.71%, 0.29%, 2.93%, -29.40%, 5.91%
3, AEP, American Electric Power Company Inc., Utilities, Utilities - Regulated Electric, USA, 42.75B, 17.27, 3.09, 2.77, 2.03, 27.72, 11.60%, 6.73%, 6.20%, 15.30%, 14.20%, 2.80%, 11.10%, 5.30%, 0.40, 0.30, 1.44, 1.68, 86.20%, 19.70%, 14.80%, -2.37%, 12.11%, 0.74%, 0.88%, 3.28%, 1.41%
5, AESC, The AES Corporation, Utilities, Utilities - Diversified, USA, -, -, -, -, -, -, -, -, -, -, 5.30%, -, -, -, -, -, -, -, -, -, -, -3.45%, -, -, -, 4.72%, 2.18%
