Entity ID,API/UWI,API/UWI List,Production Date,Liquid (bbl),Gas (mcf),Water (bbl),Well Count,Days
130029764,42461404170000,,2017-05-01,490,424,884,1,
130029764,42461404170000,,2017-06-01,4749,5619,8568,1,
130029764,42461404170000,,2017-07-01,18608,25625,33574,1,
130029764,42461404170000,,2017-08-01,18787,16374,33897,1,
130029764,42461404170000,,2017-09-01,22337,37051,40302,1,
130029764,42461404170000,,2017-10-01,15515,37026,27993,1,
130029764,42461404170000,,2017-11-01,11874,37277,21424,1,
129978216,42461404590000,424614045900,2017-05-01,20346,16404,18201,1,
129978216,42461404590000,424614045900,2017-06-01,23626,20064,21135,1,
129978216,42461404590000,424614045900,2017-07-01,20115,18927,17994,1,
129978216,42461404590000,424614045900,2017-08-01,17598,19239,15742,1,
129978216,42461404590000,424614045900,2017-09-01,15405,19782,13781,1,
129978216,42461404590000,424614045900,2017-10-01,13707,17985,12262,1,
129978216,42461404590000,424614045900,2017-11-01,11878,13822,10625,1,
129978216,42461404590000,424614045900,2017-12-01,10004,13965,8949,1,
129978214,42461404330000,424614043300,2017-08-01,14405,13174,0,1,
129978214,42461404330000,424614043300,2017-09-01,4908,14687,0,1,
129978214,42461404330000,424614043300,2017-10-01,14312,26909,0,1,
129978214,42461404330000,424614043300,2017-11-01,10374,28407,0,1,
129978114,42461403720000,424614037200,2017-03-01,3115,1096,0,1,
129978114,42461403720000,424614037200,2017-04-01,26134,23577,0,1,
129978114,42461403720000,424614037200,2017-05-01,20950,17456,0,1,
129978114,42461403720000,424614037200,2017-06-01,17089,14395,0,1,
129978114,42461403720000,424614037200,2017-07-01,15721,16841,0,1,
129978114,42461403720000,424614037200,2017-08-01,14484,18972,0,1,
129978114,42461403720000,424614037200,2017-09-01,12890,16450,0,1,
129978114,42461403720000,424614037200,2017-10-01,10520,14590,0,1,
129978114,42461403720000,424614037200,2017-11-01,9181,21916,0,1,
129978114,42461403720000,424614037200,2017-12-01,10319,22469,0,1,
